NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000144908	1539	0.7741619348526001	-0.032929502	Yes	
row_1	ENSG00000128590	2050	0.5987818241119385	-0.028988637	Yes	
row_2	ENSG00000138449	2136	0.5749863982200623	-0.00770848	Yes	
row_3	ENSG00000127249	2260	0.5435129404067993	0.010563046	Yes	
row_4	ENSG00000169174	2280	0.5397174954414368	0.03316559	Yes	
row_5	ENSG00000141150	2573	0.470691442489624	0.040971063	Yes	
row_6	ENSG00000181790	2615	0.4603147804737091	0.059176486	Yes	
row_7	ENSG00000165449	2651	0.451896071434021	0.07727591	Yes	
row_8	ENSG00000101255	2678	0.44680649042129517	0.09554349	Yes	
row_9	ENSG00000130720	2696	0.44273191690444946	0.11402329	Yes	
row_10	ENSG00000173890	2821	0.4175858199596405	0.12678632	Yes	
row_11	ENSG00000099194	2852	0.4131962060928345	0.14342229	Yes	
row_12	ENSG00000215644	2863	0.41119953989982605	0.16083618	Yes	
row_13	ENSG00000159640	2878	0.4080476462841034	0.17794037	Yes	
row_14	ENSG00000159307	2949	0.39447134733200073	0.19203454	Yes	
row_15	ENSG00000092621	2950	0.39391034841537476	0.20913036	Yes	
row_16	ENSG00000164237	2957	0.3923068344593048	0.22589721	Yes	
row_17	ENSG00000100219	3002	0.38366687297821045	0.2406464	Yes	
row_18	ENSG00000197594	3013	0.3817419409751892	0.25678182	Yes	
row_19	ENSG00000138792	3036	0.37788277864456177	0.272231	Yes	
row_20	ENSG00000221890	3201	0.35608169436454773	0.2805956	Yes	
row_21	ENSG00000044574	3218	0.3538929224014282	0.295263	Yes	
row_22	ENSG00000114757	3229	0.35300901532173157	0.3101514	Yes	
row_23	ENSG00000156414	3337	0.3394659757614136	0.3202589	Yes	
row_24	ENSG00000100600	3357	0.33674946427345276	0.33405256	Yes	
row_25	ENSG00000186480	3400	0.33044129610061646	0.34657824	Yes	
row_26	ENSG00000226549	3414	0.32898300886154175	0.3602942	Yes	
row_27	ENSG00000151692	3437	0.3265019357204437	0.37351346	Yes	
row_28	ENSG00000171227	3535	0.31404513120651245	0.38294995	Yes	
row_29	ENSG00000166598	3548	0.3126959204673767	0.3960023	Yes	
row_30	ENSG00000157326	3635	0.30293145775794983	0.405432	Yes	
row_31	ENSG00000128165	3658	0.2994830906391144	0.4174786	Yes	
row_32	ENSG00000145020	3681	0.29736968874931335	0.4294335	Yes	
row_33	ENSG00000173281	3731	0.29126664996147156	0.43995637	Yes	
row_34	ENSG00000130487	3737	0.29055097699165344	0.4523502	Yes	
row_35	ENSG00000206384	3852	0.27857542037963867	0.45951244	Yes	
row_36	ENSG00000126950	3893	0.27387645840644836	0.4696696	Yes	
row_37	ENSG00000155660	3916	0.2720552682876587	0.48052585	Yes	
row_38	ENSG00000171798	4000	0.26508888602256775	0.48844284	Yes	
row_39	ENSG00000168209	4040	0.261663556098938	0.49811321	Yes	
row_40	ENSG00000070669	4049	0.2607221305370331	0.5090828	Yes	
row_41	ENSG00000131620	4094	0.25711557269096375	0.51833963	Yes	
row_42	ENSG00000151726	4204	0.24920891225337982	0.52444345	Yes	
row_43	ENSG00000182704	4291	0.24108248949050903	0.5311889	Yes	
row_44	ENSG00000211584	4494	0.22656764090061188	0.53228986	Yes	
row_45	ENSG00000123643	4660	0.216458261013031	0.53455156	Yes	
row_46	ENSG00000123983	4692	0.21443110704421997	0.54251784	Yes	
row_47	ENSG00000121064	4775	0.2100079506635666	0.54808754	Yes	
row_48	ENSG00000112294	4778	0.20990894734859467	0.55711114	Yes	
row_49	ENSG00000109265	4812	0.20745114982128143	0.5646881	Yes	
row_50	ENSG00000198830	4860	0.20475536584854126	0.5715428	Yes	
row_51	ENSG00000170837	4941	0.19907836616039276	0.5767246	Yes	
row_52	ENSG00000117643	5064	0.19215834140777588	0.5797904	Yes	
row_53	ENSG00000130513	5129	0.18774883449077606	0.5851722	Yes	
