#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	9746	690	7.07	4934	50.63	2518	25.84	338	3.47	1266	12.99
Mouse	9746	8561	87.85	0	0.00	0	0.00	514	5.27	671	6.88
Rat	9746	8428	86.48	3	0.03	1	0.01	393	4.03	921	9.45
Drosophila	9746	9563	98.13	0	0.00	0	0.00	17	0.17	166	1.70
Worm	9746	9596	98.46	1	0.01	0	0.00	69	0.71	80	0.82
Yeast	9746	9551	98.00	0	0.00	0	0.00	4	0.04	191	1.96
Arabidopsis	9746	9535	97.84	0	0.00	0	0.00	11	0.11	200	2.05
Ecoli	9746	9746	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	9746	8925	91.57	0	0.00	0	0.00	106	1.09	715	7.34
MT	9746	9707	99.60	0	0.00	0	0.00	39	0.40	0	0.00
PhiX	9746	9746	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	9746	9746	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	9746	9739	99.93	0	0.00	0	0.00	2	0.02	5	0.05
Adapters	9746	9745	99.99	0	0.00	0	0.00	0	0.00	1	0.01

%Hit_no_genomes: 7.01
